,raceId,year,circuitId,name,date,driverId,constructorId,laps,time,statusId,driver_name,Temperature (C),Humidity,WindSpeed,TrackTemp,Rain
100,1094,2022,32,Mexico City Grand Prix,2022-10-30,830,9,71,1:38:36.729,1,max_verstappen,24.312727272727273,34.442424242424245,1.336969696969697,41.689090909090915,False
101,1095,2022,18,Brazilian Grand Prix,2022-11-13,847,131,71,1:38:34.044,1,russell,12.899367088607592,83.17088607594937,1.482278481012658,17.41898734177215,False
102,1096,2022,24,Abu Dhabi Grand Prix,2022-11-20,830,9,58,1:27:45.914,1,max_verstappen,28.575483870967748,61.68387096774194,2.608387096774193,34.310322580645156,False
103,1098,2023,3,Bahrain Grand Prix,2023-03-05,830,9,57,1:33:56.736,1,max_verstappen,27.43167701863354,21.496894409937887,0.6832298136645961,31.01180124223602,False
104,1099,2023,77,Saudi Arabian Grand Prix,2023-03-19,815,9,50,1:21:14.894,1,perez,26.09189189189189,57.79054054054054,1.772297297297297,31.79256756756757,False
105,1100,2023,1,Australian Grand Prix,2023-04-02,830,9,58,2:32:38.371,1,max_verstappen,17.449549549549552,54.15765765765766,1.1270270270270266,30.13963963963964,False
106,1101,2023,73,Azerbaijan Grand Prix,2023-04-30,815,9,51,1:32:42.436,1,perez,24.860625,49.225,1.083125,41.209999999999994,False
107,1102,2023,79,Miami Grand Prix,2023-05-07,830,9,57,1:27:38.241,1,max_verstappen,27.11741935483871,59.42580645161291,3.970322580645162,36.689032258064515,False
108,1104,2023,6,Monaco Grand Prix,2023-05-28,830,9,78,1:48:51.980,1,max_verstappen,25.06590909090909,45.86363636363637,1.0056818181818181,39.25568181818182,True
109,1105,2023,4,Spanish Grand Prix,2023-06-04,830,9,66,1:27:57.940,1,max_verstappen,22.674025974025977,63.077922077922075,1.8694805194805193,33.838961038961045,False
110,1106,2023,7,Canadian Grand Prix,2023-06-18,830,9,70,1:33:58.348,1,max_verstappen,18.530246913580246,63.901234567901234,1.941975308641975,30.593209876543206,False
111,1107,2023,70,Austrian Grand Prix,2023-07-02,830,9,71,1:25:33.607,1,max_verstappen,22.398039215686275,52.04575163398693,1.0973856209150326,32.05424836601307,True
112,1108,2023,9,British Grand Prix,2023-07-09,830,9,52,1:25:16.938,1,max_verstappen,21.473509933774835,56.18543046357616,3.023841059602649,30.94105960264901,False
113,1109,2023,11,Hungarian Grand Prix,2023-07-23,830,9,70,1:38:08.634,1,max_verstappen,28.808536585365857,32.80487804878049,1.4408536585365852,48.579268292682926,False
